Name,batchEntId,parentBoxPlateId,parentBoxPlateName,parentBoxPlatePos,volume,Concentration (ng/ul)
VIAL20493,seq_x6E1sUJD,box_TeiHeGLT,p1,a4,50.0,325
,seq_stP1p5JB,PL02,PL02,e2,10,300
,seq_6ZKHHToq,PR_05,PR_05,A6,10,100
,seq_9YulJcan,PR_07,PR_07,A3,10,100
VIAL22032,seq_MpFqS7IY,box_1gU5Ml9d,l4,a1,20.0,
My Vial2,seq_Oz3nIc4v,box_1gU5Ml9d,l4,a2,5.0,10
VIAL22059,seq_3bqXE4zg,box_1gU5Ml9d,l4,a3,638.7,100
VIAL22022,seq_Oz3nIc4v,box_1gU5Ml9d,l4,a8,60.0,50
VIAL22029,seq_f9l7bytu,box_1gU5Ml9d,l4,c7,100.0,
VIAL22015,seq_JTT473nt,box_1gU5Ml9d,l4,c8,100.0,
VIAL22012,seq_AMtzhp8H,box_1gU5Ml9d,l4,c9,100.0,
VIAL22010,seq_sS4uqbfN,box_1gU5Ml9d,l4,d1,100.0,
VIAL22006,seq_jNmx8NNh,box_1gU5Ml9d,l4,d2,100.0,
VIAL22024,seq_YY6KTMAw,box_1gU5Ml9d,l4,d3,100.0,
VIAL22021,seq_UDLLTjO4,box_1gU5Ml9d,l4,d4,100.0,
VIAL22018,seq_foeRn60p,box_1gU5Ml9d,l4,d5,100.0,
VIAL22002,seq_R4EEkcHF,box_1gU5Ml9d,l4,f6,100.0,16
VIAL22036,seq_5xGuImaO,box_1gU5Ml9d,l4,f7,100.0,142.8
VIAL22037,seq_E3lmPwKA,box_1gU5Ml9d,l4,f8,100.0,134.5
VIAL22038,seq_u0rQqC1j,box_1gU5Ml9d,l4,f9,100.0,137
VIAL22039,seq_kNjuu3eV,box_1gU5Ml9d,l4,g1,100.0,40.1
VIAL22040,seq_12e9SBIA,box_1gU5Ml9d,l4,g2,100.0,134
VIAL22041,seq_ZQuEQJkC,box_1gU5Ml9d,l4,g3,100.0,144.6
VIAL22043,seq_aeGHg37n,box_1gU5Ml9d,l4,g5,100.0,129.3
VIAL22044,seq_nG8aljsp,box_1gU5Ml9d,l4,g6,100.0,132.3
VIAL22045,seq_pZEHnb4P,box_1gU5Ml9d,l4,g7,100.0,141.5
VIAL22046,seq_YfjNzne9,box_1gU5Ml9d,l4,g8,100.0,152.7
VIAL22047,seq_4FRqdXfP,box_1gU5Ml9d,l4,g9,100.0,111.7
VIAL22048,seq_YaTfoYAG,box_1gU5Ml9d,l4,h1,100.0,114
VIAL22049,seq_zcKqMaMb,box_1gU5Ml9d,l4,h2,100.0,121.4
VIAL22050,seq_CsHiH2yp,box_1gU5Ml9d,l4,h3,100.0,120.2
VIAL22051,seq_KDtLwgGf,box_1gU5Ml9d,l4,h4,100.0,131.2
VIAL22052,seq_kHX0wAgl,box_1gU5Ml9d,l4,h5,100.0,105.1
VIAL22053,seq_vAJiYj9Z,box_1gU5Ml9d,l4,h6,100.0,133.1
VIAL22054,seq_JtBvUUG5,box_1gU5Ml9d,l4,h7,100.0,134.5
VIAL22055,seq_GfXxst8r,box_1gU5Ml9d,l4,h8,100.0,82.8
VIAL22056,seq_mrGrQTU7,box_1gU5Ml9d,l4,h9,500.0,31.74
VIAL22057,seq_KiXeEOU4,box_1gU5Ml9d,l4,i1,500.0,45.5
VIAL22058,seq_kWbFgzi2,box_1gU5Ml9d,l4,i2,400.0,122.475
VIAL20613,seq_tFJ3JgoN,box_8AFyZMWE,l5,a2,10.0,50
VIAL21235,seq_L33dmauv,box_8AFyZMWE,l5,a3,100.0,40
VIAL21236,seq_jdBUJJ8R,box_8AFyZMWE,l5,a4,100.0,45
VIAL21237,seq_JsntMCri,box_8AFyZMWE,l5,a5,100.0,40
VIAL21238,seq_UiTmQ7Xa,box_8AFyZMWE,l5,a6,100.0,45
VIAL21239,seq_YIrY10it,box_8AFyZMWE,l5,a7,100.0,40
VIAL21240,seq_oMXpiAOB,box_8AFyZMWE,l5,a8,100.0,55
VIAL21241,seq_dtYzIKOY,box_8AFyZMWE,l5,a9,100.0,40
VIAL21242,seq_FCGzeSsE,box_8AFyZMWE,l5,b1,100.0,35
VIAL21243,seq_hhhVw9eA,box_8AFyZMWE,l5,b2,100.0,55
VIAL21244,seq_4Pxu1ATP,box_8AFyZMWE,l5,b3,100.0,50
VIAL21245,seq_6zfLJTUM,box_8AFyZMWE,l5,b4,100.0,25
VIAL21246,seq_Rz0TOi3L,box_8AFyZMWE,l5,b5,100.0,55
VIAL21247,seq_vO4Lh9fd,box_8AFyZMWE,l5,b6,100.0,14
VIAL21248,seq_hjPyS1Ne,box_8AFyZMWE,l5,b7,100.0,6
VIAL21249,seq_K7PrOouu,box_8AFyZMWE,l5,b8,100.0,20
VIAL21250,seq_QeJtdJD5,box_8AFyZMWE,l5,b9,100.0,7
VIAL21251,seq_8ECen8X5,box_8AFyZMWE,l5,c1,100.0,40
VIAL21252,seq_7yKViimP,box_8AFyZMWE,l5,c2,100.0,50
VIAL21253,seq_2GvxI9jT,box_8AFyZMWE,l5,c3,100.0,35
VIAL21254,seq_BiXZApwd,box_8AFyZMWE,l5,c4,100.0,30
VIAL21255,seq_wWUmnFgH,box_8AFyZMWE,l5,c5,100.0,45
VIAL21256,seq_6dQCns1h,box_8AFyZMWE,l5,c6,100.0,50
VIAL21257,seq_Y7WhQBYd,box_8AFyZMWE,l5,c7,100.0,30
VIAL21258,seq_AzQGpWT8,box_8AFyZMWE,l5,c8,100.0,25
VIAL21259,seq_PB4lOV5S,box_8AFyZMWE,l5,d4,100.0,30
VIAL21260,seq_r5wgewg7,box_8AFyZMWE,l5,d5,100.0,45
VIAL21261,seq_UDEVaBMe,box_8AFyZMWE,l5,d6,100.0,82
VIAL21262,seq_YmeKQKdY,box_8AFyZMWE,l5,d7,100.0,30
VIAL21263,seq_GSTtJFna,box_8AFyZMWE,l5,d8,100.0,50
VIAL21264,seq_MQ1b0U5q,box_8AFyZMWE,l5,d9,100.0,50
VIAL21265,seq_b4ROOtBX,box_8AFyZMWE,l5,e1,100.0,35
VIAL21266,seq_veMvp61A,box_8AFyZMWE,l5,e2,100.0,35
VIAL21267,seq_dDgpyFvK,box_8AFyZMWE,l5,e3,100.0,15
VIAL21268,seq_lDWt9zmP,box_8AFyZMWE,l5,e4,100.0,15
VIAL21269,seq_VYMXMTP6,box_8AFyZMWE,l5,e5,100.0,20
VIAL21270,seq_OMlhdylv,box_8AFyZMWE,l5,e6,100.0,30
VIAL21271,seq_PZLMZfCk,box_8AFyZMWE,l5,e7,100.0,35
VIAL21272,seq_Y8ADKjKW,box_8AFyZMWE,l5,e8,100.0,35
VIAL21273,seq_0MCSVCHD,box_8AFyZMWE,l5,e9,100.0,40
VIAL21274,seq_R0MpnI99,box_8AFyZMWE,l5,f1,100.0,30
VIAL21275,seq_U7DJp1qU,box_8AFyZMWE,l5,f2,100.0,15
VIAL21276,seq_Y3siMPpq,box_8AFyZMWE,l5,f3,100.0,10
VIAL21277,seq_ZSh58li2,box_8AFyZMWE,l5,f4,100.0,10
VIAL21278,seq_jNzhADho,box_8AFyZMWE,l5,f5,100.0,20
VIAL21279,seq_hNkacsol,box_8AFyZMWE,l5,f6,100.0,30
VIAL21280,seq_EKP05e2F,box_8AFyZMWE,l5,f7,100.0,30
VIAL21281,seq_U1Mddzk7,box_8AFyZMWE,l5,f8,100.0,35
VIAL21282,seq_otoWzldx,box_8AFyZMWE,l5,f9,100.0,25
VIAL21283,seq_GVGWRbxJ,box_8AFyZMWE,l5,g1,100.0,25
VIAL21284,seq_4jpoULwv,box_8AFyZMWE,l5,g2,100.0,30
VIAL21285,seq_M8QV2osc,box_8AFyZMWE,l5,g3,100.0,30
VIAL21286,seq_3V4rc6em,box_8AFyZMWE,l5,g4,100.0,25
VIAL21287,seq_yOM6O9dJ,box_8AFyZMWE,l5,g5,100.0,25
VIAL21288,seq_LQX9oGQN,box_8AFyZMWE,l5,g6,100.0,25
VIAL21289,seq_E5FcOlRr,box_8AFyZMWE,l5,g7,100.0,30
VIAL21290,seq_RrzcSP1d,box_8AFyZMWE,l5,g8,100.0,20
VIAL21291,seq_cp3U9VhO,box_8AFyZMWE,l5,g9,100.0,30
VIAL21292,seq_qx5JJz2W,box_8AFyZMWE,l5,h1,100.0,30
VIAL21293,seq_BCGEQ1FB,box_8AFyZMWE,l5,h2,100.0,30
VIAL21294,seq_yc89LkZN,box_8AFyZMWE,l5,h3,100.0,30
VIAL21295,seq_xZaPmPcy,box_8AFyZMWE,l5,h4,100.0,35
VIAL21296,seq_skLrOfig,box_8AFyZMWE,l5,h5,100.0,30
VIAL21297,seq_r0zYJJuX,box_8AFyZMWE,l5,h6,100.0,30
VIAL21298,seq_9F9knFhQ,box_8AFyZMWE,l5,h7,100.0,5
VIAL21299,seq_LmdjJCgg,box_8AFyZMWE,l5,h8,100.0,35
VIAL21300,seq_b39BssFT,box_8AFyZMWE,l5,h9,100.0,35
VIAL21301,seq_PNWfVCwo,box_8AFyZMWE,l5,i1,100.0,35
VIAL21302,seq_fRQCreqJ,box_8AFyZMWE,l5,i2,100.0,35
VIAL21303,seq_NGrzK0Z4,box_8AFyZMWE,l5,i3,100.0,10
VIAL21304,seq_BUWnSgNx,box_8AFyZMWE,l5,i4,100.0,35
VIAL21305,seq_sXTvfVhg,box_8AFyZMWE,l5,i5,100.0,35
VIAL21306,seq_BjylKbxY,box_8AFyZMWE,l5,i6,100.0,30
VIAL21123,seq_XyMsXAiH,box_8AFyZMWE,l5,i7,100.0,155
VIAL21129,seq_dIrA6KHb,box_8AFyZMWE,l5,i8,100.0,30
VIAL21130,seq_R4EEkcHF,box_8AFyZMWE,l5,i9,100.0,40
VIAL21469,seq_hhGreWwa,box_ASuXGEiz,o3,a1,100.0,10.0
VIAL21470,seq_ois2Wxv4,box_ASuXGEiz,o3,a2,100.0,10.0
VIAL21471,seq_Io474YQZ,box_ASuXGEiz,o3,a3,100.0,10.0
VIAL21472,seq_WFik2dny,box_ASuXGEiz,o3,a4,100.0,10.0
VIAL21473,seq_EzhrRHyU,box_ASuXGEiz,o3,a5,100.0,10.0
VIAL21474,seq_8owhCPV0,box_ASuXGEiz,o3,a6,100.0,10.0
VIAL21475,seq_2WqZ6RPk,box_ASuXGEiz,o3,a7,100.0,10.0
VIAL21476,seq_YNYkn8ea,box_ASuXGEiz,o3,a8,100.0,10.0
VIAL21477,seq_4MzlMQmZ,box_ASuXGEiz,o3,a9,100.0,10.0
VIAL21478,seq_2WtiGJpE,box_ASuXGEiz,o3,b1,100.0,10.0
VIAL21479,seq_D6QMlo6y,box_ASuXGEiz,o3,b2,100.0,10.0
VIAL21480,seq_AkBe1nPV,box_ASuXGEiz,o3,b3,100.0,10.0
VIAL21481,seq_6Z7slAHv,box_ASuXGEiz,o3,b4,100.0,10.0
VIAL21482,seq_YY9QGKOq,box_ASuXGEiz,o3,b5,100.0,10.0
VIAL21483,seq_TFH4KriF,box_ASuXGEiz,o3,b6,100.0,10.0
VIAL21484,seq_fKg1cYx8,box_ASuXGEiz,o3,b7,100.0,10.0
VIAL21485,seq_jHqduaXs,box_ASuXGEiz,o3,b8,100.0,10.0
VIAL21486,seq_lxlJa5FC,box_ASuXGEiz,o3,b9,100.0,10.0
VIAL21487,seq_NB4EK62D,box_ASuXGEiz,o3,c1,100.0,10.0
VIAL21488,seq_Ur1fXTzm,box_ASuXGEiz,o3,c2,100.0,10.0
VIAL21489,seq_73qZAxxz,box_ASuXGEiz,o3,c3,100.0,10.0
VIAL21490,seq_TfA7Nw3k,box_ASuXGEiz,o3,c4,100.0,10.0
VIAL21491,seq_1rN5WNNu,box_ASuXGEiz,o3,c5,100.0,10.0
VIAL21492,seq_cLXgZRuF,box_ASuXGEiz,o3,c6,100.0,10.0
VIAL21493,seq_23nxZmXO,box_ASuXGEiz,o3,c7,100.0,10.0
VIAL21494,seq_R5jD5KKh,box_ASuXGEiz,o3,c8,100.0,10.0
VIAL21495,seq_tSwW575Q,box_ASuXGEiz,o3,c9,100.0,10.0
VIAL21496,seq_s8jrJeeQ,box_ASuXGEiz,o3,d1,100.0,10.0
VIAL21497,seq_AAVOjgnF,box_ASuXGEiz,o3,d2,100.0,10.0
VIAL21498,seq_8PSI5aE4,box_ASuXGEiz,o3,d3,100.0,10.0
VIAL21499,seq_kLndH8uo,box_ASuXGEiz,o3,d4,100.0,10.0
VIAL21500,seq_rQ2Adcg9,box_ASuXGEiz,o3,d5,100.0,10.0
VIAL21501,seq_hyHxiwAP,box_ASuXGEiz,o3,d6,100.0,10.0
VIAL21502,seq_Bqkakjjf,box_ASuXGEiz,o3,d7,100.0,10.0
VIAL21503,seq_0rODsx99,box_ASuXGEiz,o3,d8,100.0,10.0
VIAL21504,seq_5nTQ4jx9,box_ASuXGEiz,o3,d9,100.0,10.0
VIAL21505,seq_gjB9xcSu,box_ASuXGEiz,o3,e1,100.0,10.0
VIAL21506,seq_NNFsfHlF,box_ASuXGEiz,o3,e2,100.0,10.0
VIAL21507,seq_ahHIVhFv,box_ASuXGEiz,o3,e3,100.0,10.0
VIAL21508,seq_ZUMVd6Hc,box_ASuXGEiz,o3,e5,100.0,10.0
VIAL21509,seq_T0dO7W9A,box_ASuXGEiz,o3,e6,100.0,10.0
VIAL21510,seq_6tZXr3bJ,box_ASuXGEiz,o3,e7,100.0,10.0
VIAL21511,seq_KL6WnO4f,box_ASuXGEiz,o3,e8,100.0,10.0
VIAL21512,seq_XaMJGVJP,box_ASuXGEiz,o3,e9,100.0,10.0
VIAL21513,seq_x516V96M,box_ASuXGEiz,o3,f1,100.0,10.0
VIAL21514,seq_PNqvKoi9,box_ASuXGEiz,o3,f2,100.0,10.0
VIAL20635,seq_tBuBVy49,box_ASuXGEiz,o3,f6,100.0,10.0
VIAL21106,seq_fWaymUQa,box_ASuXGEiz,o3,f7,100.0,10.0
VIAL21108,seq_iz617xDk,box_ASuXGEiz,o3,f8,100.0,10.0
VIAL22557,seq_nYEwYVpe,box_ASuXGEiz,o3,g4,100.0,10.0
VIAL22560,seq_sN9Df5lN,box_ASuXGEiz,o3,g5,100.0,10.0
VIAL21317,seq_9MukonW6,box_CRPEtwII,o1,a1,100.0,10.0
VIAL21318,seq_QUfhy6O1,box_CRPEtwII,o1,a2,100.0,10.0
VIAL21319,seq_PBNv0Bqe,box_CRPEtwII,o1,a3,100.0,10.0
VIAL21320,seq_7Abou99T,box_CRPEtwII,o1,a4,100.0,10.0
VIAL21321,seq_YIAXGkSJ,box_CRPEtwII,o1,a5,100.0,10.0
VIAL21322,seq_XUZC5lZJ,box_CRPEtwII,o1,a6,100.0,10.0
VIAL21323,seq_2QIVeX9R,box_CRPEtwII,o1,a7,100.0,10.0
VIAL21324,seq_Li6qt9J1,box_CRPEtwII,o1,a8,100.0,10.0
VIAL21325,seq_zxW1Y8uJ,box_CRPEtwII,o1,a9,100.0,10.0
VIAL21326,seq_3XlMeoeu,box_CRPEtwII,o1,b1,100.0,10.0
VIAL21327,seq_vKkQKI8h,box_CRPEtwII,o1,b2,100.0,10.0
VIAL21328,seq_2fOf4QSM,box_CRPEtwII,o1,b3,100.0,10.0
VIAL21329,seq_JNLPCXH3,box_CRPEtwII,o1,b4,100.0,10.0
VIAL21330,seq_yXuKAgbQ,box_CRPEtwII,o1,b5,100.0,10.0
VIAL21331,seq_hVmEtlHj,box_CRPEtwII,o1,b6,100.0,10.0
VIAL21332,seq_r787XGkl,box_CRPEtwII,o1,b7,100.0,10.0
VIAL21333,seq_CQBEbYLQ,box_CRPEtwII,o1,b8,100.0,10.0
VIAL21334,seq_QWOPKDZK,box_CRPEtwII,o1,b9,100.0,10.0
VIAL21335,seq_a6BPgYhE,box_CRPEtwII,o1,c1,100.0,10.0
VIAL21336,seq_MdwBvWQp,box_CRPEtwII,o1,c2,100.0,10.0
VIAL21337,seq_LKkmTkdh,box_CRPEtwII,o1,c3,100.0,10.0
VIAL21338,seq_kOZlrKod,box_CRPEtwII,o1,c4,100.0,10.0
VIAL21339,seq_cuZvWBLn,box_CRPEtwII,o1,c5,100.0,10.0
VIAL21340,seq_PaOYvc5U,box_CRPEtwII,o1,c6,100.0,10.0
VIAL21341,seq_LkbJj9Ny,box_CRPEtwII,o1,c7,100.0,10.0
VIAL21342,seq_qMIkcI4R,box_CRPEtwII,o1,c8,100.0,10.0
VIAL21343,seq_z6Ooi3Xu,box_CRPEtwII,o1,c9,100.0,10.0
VIAL21344,seq_DQEM6oYM,box_CRPEtwII,o1,d1,100.0,10.0
VIAL21345,seq_s7kiLdhm,box_CRPEtwII,o1,d2,100.0,10.0
VIAL21346,seq_CVBzig0i,box_CRPEtwII,o1,d3,100.0,10.0
VIAL21347,seq_7iocXrRb,box_CRPEtwII,o1,d4,100.0,10.0
VIAL21348,seq_c5QqpI3w,box_CRPEtwII,o1,d5,100.0,10.0
VIAL21349,seq_O7d5igIz,box_CRPEtwII,o1,d6,100.0,10.0
VIAL21350,seq_rhXi1psI,box_CRPEtwII,o1,d7,100.0,10.0
VIAL21351,seq_vhttIwKq,box_CRPEtwII,o1,d8,100.0,10.0
VIAL21352,seq_ssDRCUak,box_CRPEtwII,o1,d9,100.0,10.0
VIAL21353,seq_lwZBXu6k,box_CRPEtwII,o1,e1,100.0,10.0
VIAL21354,seq_pwj6EfIh,box_CRPEtwII,o1,e2,100.0,10.0
VIAL21355,seq_f0DxM4nU,box_CRPEtwII,o1,e3,100.0,10.0
VIAL21356,seq_8At1dmPw,box_CRPEtwII,o1,e4,100.0,10.0
VIAL21357,seq_qfmSYT6c,box_CRPEtwII,o1,e5,100.0,10.0
VIAL21358,seq_0CvPCQnw,box_CRPEtwII,o1,e6,100.0,10.0
VIAL21359,seq_MmgYknyC,box_CRPEtwII,o1,e7,100.0,10.0
VIAL21360,seq_VmfxbL91,box_CRPEtwII,o1,e8,100.0,10.0
VIAL21361,seq_jQDdyT9D,box_CRPEtwII,o1,e9,100.0,10.0
VIAL21362,seq_RKC5iD2J,box_CRPEtwII,o1,f1,100.0,10.0
VIAL21363,seq_kAiGujF6,box_CRPEtwII,o1,f2,100.0,10.0
VIAL21364,seq_N6Gmu7CQ,box_CRPEtwII,o1,f3,100.0,10.0
VIAL21365,seq_bkSRqbZx,box_CRPEtwII,o1,f4,100.0,10.0
VIAL21366,seq_MaNHPCiY,box_CRPEtwII,o1,f5,100.0,10.0
VIAL21367,seq_mkzRf8iQ,box_CRPEtwII,o1,f6,100.0,10.0
VIAL21368,seq_YYWktiMx,box_CRPEtwII,o1,f7,100.0,10.0
VIAL21369,seq_TssxYD1G,box_CRPEtwII,o1,f8,100.0,10.0
VIAL21370,seq_ksgJLBUa,box_CRPEtwII,o1,f9,100.0,10.0
VIAL21371,seq_Wdm5sPah,box_CRPEtwII,o1,g1,100.0,10.0
VIAL21372,seq_xYYGSHuH,box_CRPEtwII,o1,g2,100.0,10.0
VIAL21373,seq_QOhdYGfD,box_CRPEtwII,o1,g3,100.0,10.0
VIAL21374,seq_zu1JfUyB,box_CRPEtwII,o1,g4,100.0,10.0
VIAL21375,seq_wvdK7xDb,box_CRPEtwII,o1,g5,100.0,10.0
VIAL21376,seq_r6WXiDu1,box_CRPEtwII,o1,g6,100.0,10.0
VIAL21377,seq_69FOTmao,box_CRPEtwII,o1,g7,100.0,10.0
VIAL21378,seq_Ggj1IhPT,box_CRPEtwII,o1,g8,100.0,10.0
VIAL21379,seq_i80iGrOP,box_CRPEtwII,o1,g9,100.0,10.0
VIAL21380,seq_fDQ1ReTR,box_CRPEtwII,o1,h1,100.0,10.0
VIAL21381,seq_7xnVpO04,box_CRPEtwII,o1,h2,100.0,10.0
VIAL21382,seq_KD5otxIi,box_CRPEtwII,o1,h3,100.0,10.0
VIAL21383,seq_6CUdPIeZ,box_CRPEtwII,o1,h4,100.0,10.0
VIAL21384,seq_WhBxHcGt,box_CRPEtwII,o1,h5,100.0,10.0
VIAL21385,seq_BKFzH3fo,box_CRPEtwII,o1,h6,100.0,10.0
VIAL21386,seq_c5VNuEvR,box_CRPEtwII,o1,h7,100.0,10.0
VIAL21387,seq_1gNsB10b,box_CRPEtwII,o1,h8,100.0,10.0
VIAL21388,seq_g6PJvC1Q,box_CRPEtwII,o1,h9,100.0,10.0
VIAL21389,seq_nLRYkyu9,box_CRPEtwII,o1,i1,100.0,10.0
VIAL21390,seq_yDsx1uDt,box_CRPEtwII,o1,i2,100.0,10.0
VIAL21391,seq_TFipVL5V,box_CRPEtwII,o1,i3,100.0,10.0
VIAL21392,seq_jXzjEvlu,box_CRPEtwII,o1,i4,100.0,10.0
VIAL21393,seq_el7CWzEQ,box_CRPEtwII,o1,i5,100.0,10.0
VIAL21394,seq_yrlbtd1E,box_CRPEtwII,o1,i6,100.0,10.0
VIAL21395,seq_6IGHsrUv,box_CRPEtwII,o1,i7,100.0,10.0
VIAL21396,seq_t3Fvzacg,box_CRPEtwII,o1,i8,100.0,10.0
VIAL21397,seq_yGEX3yLk,box_CRPEtwII,o1,i9,100.0,10.0
VIAL20485,seq_F3PfsV3q,box_TeiHeGLT,p1,a1,50.0,100
VIAL20486,seq_ocjtSuRY,box_TeiHeGLT,p1,a2,50.0,350
VIAL20487,seq_AfComKMb,box_TeiHeGLT,p1,a3,30.0,170
VIAL20494,seq_x6E1sUJD,box_TeiHeGLT,p1,a5,50.0,190
VIAL20488,seq_dii0Wy8u,box_TeiHeGLT,p1,a6,30.0,419
VIAL20495,seq_x6E1sUJD,box_TeiHeGLT,p1,a7,50.0,220
VIAL20496,seq_x6E1sUJD,box_TeiHeGLT,p1,a8,50.0,200
VIAL20489,seq_YeTN2aFe,box_TeiHeGLT,p1,a9,30.0,510
VIAL20497,,box_TeiHeGLT,p1,b1,,
VIAL20498,,box_TeiHeGLT,p1,b2,,
VIAL20490,,box_TeiHeGLT,p1,b3,,
VIAL20491,,box_TeiHeGLT,p1,b4,,
VIAL20492,,box_TeiHeGLT,p1,b5,,
VIAL20499,,box_TeiHeGLT,p1,b6,,
VIAL20500,,box_TeiHeGLT,p1,b7,,
VIAL20501,,box_TeiHeGLT,p1,b8,,
VIAL20502,,box_TeiHeGLT,p1,b9,,
VIAL20503,seq_IlHkCJNE,box_TeiHeGLT,p1,c1,20.0,265
VIAL20504,,box_TeiHeGLT,p1,c2,,
VIAL20505,seq_F8q0EV7M,box_TeiHeGLT,p1,c3,500.0,150
VIAL20506,seq_yYRfmggd,box_TeiHeGLT,p1,c4,50.0,160
VIAL20507,seq_gKoAytme,box_TeiHeGLT,p1,c5,200.0,50
VIAL20508,,box_TeiHeGLT,p1,c6,,
VIAL20509,seq_zxFx7CWg,box_TeiHeGLT,p1,c7,10.0,100
VIAL20510,,box_TeiHeGLT,p1,c8,,
VIAL20511,,box_TeiHeGLT,p1,c9,,
VIAL20512,,box_TeiHeGLT,p1,d1,,
VIAL20513,,box_TeiHeGLT,p1,d2,,
VIAL20514,,box_TeiHeGLT,p1,d3,,
VIAL20515,,box_TeiHeGLT,p1,d4,,
VIAL20516,,box_TeiHeGLT,p1,d5,,
VIAL20517,seq_hs0iYojo,box_TeiHeGLT,p1,d6,50.0,20
VIAL20518,,box_TeiHeGLT,p1,d7,,
VIAL20519,,box_TeiHeGLT,p1,d8,,
VIAL20520,,box_TeiHeGLT,p1,d9,,
VIAL20521,,box_TeiHeGLT,p1,e1,,
VIAL20522,,box_TeiHeGLT,p1,e2,,
VIAL20523,,box_TeiHeGLT,p1,e3,,
VIAL20524,,box_TeiHeGLT,p1,e4,,
VIAL20525,seq_jn5ZYta0,box_TeiHeGLT,p1,e5,50.0,60
VIAL20526,,box_TeiHeGLT,p1,e6,,
VIAL20527,,box_TeiHeGLT,p1,e7,,
VIAL20528,,box_TeiHeGLT,p1,e8,,
VIAL20529,seq_1CjunWxH,box_TeiHeGLT,p1,e9,30.0,185
VIAL20530,seq_YfXFok9r,box_TeiHeGLT,p1,f1,5.0,100
VIAL20531,,box_TeiHeGLT,p1,f2,,
VIAL20532,,box_TeiHeGLT,p1,f3,,
VIAL20533,seq_Qy1hV9Gf,box_TeiHeGLT,p1,f4,30.0,220
VIAL20534,,box_TeiHeGLT,p1,f5,,
VIAL20535,seq_E3e4122L,box_TeiHeGLT,p1,f6,30.0,470
VIAL20536,seq_2wjuSHXe,box_TeiHeGLT,p1,f7,40.0,470
VIAL20537,seq_xPKzBIvE,box_TeiHeGLT,p1,f8,40.0,570
VIAL20538,seq_qyaGLGVw,box_TeiHeGLT,p1,f9,30.0,320
VIAL20539,seq_NEDXaSiR,box_TeiHeGLT,p1,g1,30.0,200
VIAL20540,seq_ZiniEt6s,box_TeiHeGLT,p1,g2,30.0,200
VIAL20541,seq_e5QIhAPy,box_TeiHeGLT,p1,g3,30.0,260
VIAL20542,seq_nKRBdeRa,box_TeiHeGLT,p1,g4,30.0,70
VIAL20543,seq_2j5ydZst,box_TeiHeGLT,p1,g5,30.0,80
VIAL20544,seq_tCABj9wL,box_TeiHeGLT,p1,g6,30.0,80
VIAL20545,seq_DO9MQAJ7,box_TeiHeGLT,p1,g7,10.0,160
VIAL20546,seq_IPCRw8kU,box_TeiHeGLT,p1,g8,10.0,230
VIAL20483,seq_AA4vOQs1,box_TeiHeGLT,p1,g9,50.0,300
VIAL20474,seq_a0x7IAjp,box_TeiHeGLT,p1,h1,100.0,70
VIAL20547,seq_e3HVSbTV,box_TeiHeGLT,p1,h2,50.0,300
VIAL20548,,box_TeiHeGLT,p1,h3,,
VIAL20549,seq_q8krHEra,box_TeiHeGLT,p1,h4,50.0,300
